model,species_id,keystoneness
linear,74,0.02040527694689385
node,66,0.013964274382203164
node,41,0.01347686914207704
node,93,0.010617832823671292
node,23,0.0096976533343878
node,30,0.00967170752443155
node,90,0.009463371912606674
node,95,0.009345140935201595
node,84,0.009267929982579217
node,33,0.00920867671397709
node,96,0.009133164332175717
node,79,0.008985215288173889
node,50,0.008915881152743756
node,6,0.008853077137582639
node,7,0.0088509009131954
node,69,0.008551530819374145
node,34,0.00845912760861842
node,87,0.008329294383327128
node,19,0.008242960272463948
node,10,0.008036139957410598
node,89,0.007979986060635769
node,44,0.0079533333970697
node,71,0.00794568657335785
node,22,0.00783005552963327
node,48,0.007822073206505555
node,62,0.007632802874359192
node,99,0.007628696777633967
node,40,0.007594798278789816
node,9,0.007565821147808762
node,58,0.007555448493453893
node,43,0.007507742995918623
node,97,0.007500535960161422
node,56,0.007136694595188926
node,74,0.0070613090883551504
node,25,0.00690191554033447
node,20,0.006817183891720381
node,64,0.006748748711731729
node,72,0.006725282899961556
node,63,0.006628770153315055
node,75,0.0066211289146304595
node,59,0.00659646879824261
node,77,0.0063600206139258104
node,45,0.006232951091476459
node,68,0.006203310736644603
node,92,0.0061659268855816995
node,80,0.006153062110746349
node,88,0.006121937008618526
node,52,0.006114870788974809
node,81,0.006112117975236901
node,54,0.006103719873768908
node,37,0.006095561211666062
node,98,0.006085822180546088
node,11,0.006081305572073316
node,78,0.00605421270831437
node,14,0.006015938295751934
node,83,0.006009856740614081
node,24,0.006008530582233659
node,2,0.005982157974496123
node,73,0.005968069888000501
node,28,0.005967069153189175
node,21,0.0059356319402384325
node,29,0.005920983134900483
node,49,0.005913146729014636
node,18,0.005865269166094403
node,82,0.005841795781232926
node,100,0.0058269476288457436
node,31,0.005810484018412854
node,61,0.005756962406084067
node,13,0.005755320033585051
node,26,0.005733565351589487
node,94,0.005674884099779747
node,86,0.005651818584322211
node,42,0.005633908703847566
node,5,0.005612696730538489
node,35,0.005610055695585082
node,60,0.005604505479582992
node,12,0.005563660029723189
node,38,0.005502901236228493
node,32,0.005499168191647081
node,8,0.005498100100886664
node,27,0.005496914560275581
node,70,0.005489983527838433
node,57,0.005464622114736313
node,65,0.005444885007837539
node,1,0.005428429532548993
node,15,0.005422426039306068
node,55,0.005416743791277703
node,39,0.005377957110780122
node,67,0.005348247316434857
node,76,0.005338717290567293
node,46,0.005338308901669202
node,91,0.005292819659693854
node,36,0.005267722123950706
node,47,0.005265394022543387
node,4,0.0052465408569243935
node,85,0.0052314609469158585
node,51,0.0052212836837538
node,53,0.005216109914456538
node,3,0.005207936349097388
node,17,0.005155816534471892
node,16,0.0051390388440910855
residualmlp,66,0.03160055987369603
residualmlp,41,0.03124698303655281
residualmlp,93,0.029518809283730896
residualmlp,90,0.028919489345897352
residualmlp,84,0.028734327518169307
residualmlp,6,0.028698269839849796
residualmlp,22,0.028532982379809016
residualmlp,30,0.02853011242500628
residualmlp,23,0.028473643782987605
residualmlp,79,0.028365614258423794
residualmlp,7,0.02832967412393176
residualmlp,40,0.028291887180995755
residualmlp,10,0.02814603622890746
residualmlp,48,0.028067185085208106
residualmlp,19,0.028004357977270584
residualmlp,99,0.02770228374961091
residualmlp,34,0.027654311325711476
residualmlp,89,0.027646090746395634
residualmlp,43,0.02743508247754473
residualmlp,29,0.02737408652699623
residualmlp,71,0.02737159180985812
residualmlp,50,0.02735005986196589
residualmlp,62,0.027332379283093775
residualmlp,97,0.027204739517780296
residualmlp,44,0.027091147608120064
residualmlp,95,0.027062525829526153
residualmlp,96,0.027053560955952575
residualmlp,75,0.026965892687288703
residualmlp,58,0.026939608762229797
residualmlp,64,0.02686520566115952
residualmlp,33,0.026831159217385915
residualmlp,87,0.02681749190219987
residualmlp,26,0.02679718377435346
residualmlp,21,0.026763702382369317
residualmlp,88,0.026747085091344228
residualmlp,9,0.026713236487015915
residualmlp,74,0.026679454804437064
residualmlp,73,0.02663616118173317
residualmlp,49,0.026562598769510223
residualmlp,80,0.026527623974609872
residualmlp,59,0.02650211504023998
residualmlp,52,0.026432088433383193
residualmlp,86,0.0264126488169978
residualmlp,82,0.026383657421517524
residualmlp,18,0.026368643147950892
residualmlp,70,0.026353242682737303
residualmlp,57,0.02634270333935052
residualmlp,61,0.026341237622722544
residualmlp,77,0.026299930892055116
residualmlp,63,0.02629746761642687
residualmlp,98,0.02626833119801096
residualmlp,56,0.026171956297793317
residualmlp,35,0.026159163302445998
residualmlp,81,0.02615165879299984
residualmlp,37,0.026141071124133025
residualmlp,25,0.026135699850357866
residualmlp,38,0.026125436132014998
residualmlp,78,0.02612485352960507
residualmlp,72,0.026114039352872483
residualmlp,27,0.026109658506745605
residualmlp,45,0.026096720784559414
residualmlp,14,0.02608574678539134
residualmlp,13,0.02605376174995935
residualmlp,31,0.02601652339656046
residualmlp,83,0.025998089974650144
residualmlp,42,0.025984319387138025
residualmlp,11,0.025983188269587485
residualmlp,100,0.02595732482272982
residualmlp,60,0.025955990869939063
residualmlp,16,0.02593347091321508
residualmlp,76,0.025931227939092714
residualmlp,4,0.025916647590578303
residualmlp,32,0.025911994266129595
residualmlp,3,0.025910997655895024
residualmlp,69,0.025899618586028676
residualmlp,24,0.025886489496958463
residualmlp,12,0.02587964025831454
residualmlp,92,0.025819034201638412
residualmlp,85,0.02581448872093017
